ID,Family,Pre_existing,New_grains,log_pre,log_new,Labelled_flowers
Fly1,Calliphoridae,367,32,2.564666064,1.505149978,b
Fly10,Sarcophagidae,630,64,2.799340549,1.806179974,a
Fly10,Sarcophagidae,694,43,2.84135947,1.633468456,b
Fly11,Sarcophagidae,380,28,2.579783597,1.447158031,a
Fly11,Sarcophagidae,408,10,2.610660163,1,b
Fly12,Muscidae,430,38,2.633468456,1.579783597,a
Fly12,Muscidae,468,11,2.670245853,1.041392685,b
Fly13,Calliphoridae,1052,1128,3.02201574,3.0523091,a
Fly14,Calliphoridae,1300,242,3.113943352,2.383815366,a
Fly15,Calliphoridae,1110,946,3.045322979,2.975891136,a
Fly16,Calliphoridae,219,44,2.340444115,1.643452676,a
Fly17,Calliphoridae,81,338,1.908485019,2.5289167,a
Fly18,Calliphoridae,694,67,2.84135947,1.826074803,a
Fly19,Calliphoridae,2750,2,3.439332694,0.301029996,a
Fly2,Calliphoridae,1422,128,3.152899596,2.10720997,a
Fly2,Calliphoridae,1550,6,3.190331698,0.77815125,b
Fly20,Scathophagidae,351,353,2.545307116,2.547774705,a
Fly21,Scathophagidae,469,258,2.671172843,2.411619706,a
Fly22,Scathophagidae,523,100,2.718501689,2,a
Fly23,Sarcophagidae,1350,67,3.130333768,1.826074803,a
Fly24,Sarcophagidae,1020,46,3.008600172,1.662757832,a
Fly25,Sarcophagidae,1110,427,3.045322979,2.630427875,a
Fly26,Muscidae,178,156,2.250420002,2.193124598,a
Fly3,Calliphoridae,105,31,2.021189299,1.491361694,b
Fly4,Calliphoridae,100,182,2,2.260071388,a
Fly4,Calliphoridae,282,35,2.450249108,1.544068044,b
Fly5,Calliphoridae,484,278,2.684845362,2.444044796,a
Fly5,Calliphoridae,762,419,2.881954971,2.622214023,b
Fly6,Scathophagidae,303,46,2.481442629,1.662757832,a
Fly6,Scathophagidae,349,194,2.542825427,2.28780173,b
Fly8,Platystomatidae,315,290,2.498310554,2.462397998,a
Fly8,Platystomatidae,605,10,2.781755375,1,b
Fly9,Platystomatidae,710,860,2.851258349,2.934498451,a
Fly9,Platystomatidae,1570,27,3.195899652,1.431363764,b
